Nro,OpenML dataset name,OpenML id,OpenML task,UCI Dataset name,Binary,Balanced,Artificial,Features,Examples,Classes,% Maj Class
1,acute-inflammations,1455,10089,acute-inflammations-nephritis,Binary,Balanced,Real,6,120,2,0.58
2,analcatdata_authorship,458,3549,analcatdata_authorship,Multiclass,Balanced,Real,70,841,4,0.38
3,analcatdata_boxing1,448,3540,analcatdata_boxing1,Binary,Balanced,Real,3,120,2,0.65
4,analcatdata_boxing2,444,3538,analcatdata_boxing2,Binary,Balanced,Real,3,132,2,0.54
5,analcatdata_creditscore,461,3552,analcatdata_creditscore,Multiclass,Balanced,Real,6,100,2,0.73
6,analcatdata_dmft,469,3560,analcatdata_dmft,Multiclass,Balanced,Real,4,797,6,0.19
7,analcatdata_germangss,475,3887,analcatdata_germangss,Multiclass,Balanced,Real,5,400,4,0.25
8,analcatdata_lawsuit,450,3542,analcatdata_lawsuit,Binary,Imbalanced,Real,4,264,2,0.93
9,appendicits,1456,145791,appendicitis,Binary,Imbalanced,Real,7,106,2,0.8
10,artificial-characters,1459,14964,artificial-characters,Multiclass,Balanced,Artificial,7,10218,10,0.14
11,autoUniv-au1-1000,1547,9909,autoUniv-au1-1000,Binary,Balanced,Artificial,20,1000,2,0.74
12,autoUniv-au4-2500,1548,9908,autoUniv-au4-2500,Multiclass,Balanced,Artificial,100,2500,3,0.47
13,autoUniv-au6-1000,1555,9902,autoUniv-au6-1000,Multiclass,Balanced,Artificial,40,1000,8,0.24
14,autoUniv-au6-750,1549,9904,autoUniv-au6-250-drift-au6-cd1-500,Multiclass,Balanced,Artificial,40,750,8,0.22
15,autoUniv-au6-400,1551,9907,autoUniv-au6-cd1-400,Multiclass,Balanced,Artificial,40,400,8,0.28
16,autoUniv-au7-1100,1552,9906,autoUniv-au7-300-drift-au7-cpd1-800,Multiclass,Balanced,Artificial,12,1100,5,0.28
17,autoUniv-au7-700,1553,9905,autoUniv-au7-700,Multiclass,Balanced,Artificial,12,700,3,0.35
18,autoUniv-au7-500,1554,9903,autoUniv-au7-cpd1-500,Multiclass,Balanced,Artificial,12,500,5,0.38
19,backache,463,3554,backache,Binary,Imbalanced,Real,31,180,2,0.86
20,balance-scale,11,11,balance-scale,Multiclass,Balanced,Real,4,625,3,0.46
21,banana,1460,10091,banana,Binary,Balanced,Artificial,2,5300,2,0.55
22,bank-marketing,1461,14965,bank-marketing,Binary,Imbalanced,Real,16,45211,2,0.88
23,banknote-authentication,1462,10093,banknote-authentication,Binary,Balanced,Real,4,1372,2,0.56
24,blood-transfusion-service-center,1464,10101,blood-transfusion-service,Binary,Balanced,Real,4,748,2,0.76
25,breast-w,15,15,breast-cancer-wisconsin,Binary,Balanced,Real,9,699,2,0.66
26,breast-tissue,1465,10095,breast-tissue-6class,Multiclass,Balanced,Real,9,106,6,0.21
27,live-disorders,8,8,bupa,Binary,Balanced,Real,6,345,2,0.58
28,car,21,21,car-evaluation,Multiclass,Imbalanced,Real,6,1728,4,0.7
29,cardiotocography v.2 (version 2),1560,9898,cardiotocography-3class,Multiclass,Imbalanced,Real,35,2126,3,0.78
30,climate-model-simulation-crashes,1467,9980,climate-simulation-crashes,Binary,Imbalanced,Artificial,20,540,2,0.91
31,cloud,210,145795,cloud,Multiclass,Balanced,Real,6,108,4,0.3
32,cmc,23,23,cmc,Multiclass,Balanced,Real,9,1473,3,0.43
33,sonar,40,39,connectionist-mines-vs-rocks,Binary,Balanced,Real,60,208,2,0.53
34,vowel,307,3022,connectionist-vowel,Multiclass,Balanced,Real,13,990,11,0.09
35,dermatoloty,35,35,dermatology,Multiclass,Balanced,Real,34,366,6,0.31
36,fertility,1473,9984,fertility-diagnosis,Binary,Imbalanced,Real,9,100,2,0.88
37,first-order-theorem-proving,1475,9985,first-order-theorem,Multiclass,Balanced,Real,51,6118,6,0.42
38,solar-flare,173,2067,flare,Multiclass,Balanced,Real,12,1389,6,0.29
39,haberman,43,42,habermans-survival,Binary,Balanced,Real,3,306,2,0.74
